,page,pageviews_x,pageviews_y,category,delta,pagecount,tmp
1144484,Steven_Stayner,415,1289.0,1965_births,-0.678044996121024,3783,1
825085,Moonlight_Graham,56,263.0,1965_deaths,-0.7870722433460076,824,1
246182,Eric_Andolsek,16,105.0,1966_births,-0.8476190476190476,3692,1
1124781,St._Elmo_Brady,15,42.0,1966_deaths,-0.6428571428571428,890,1
174796,Desmond_Keith_Carter,6,35.0,1967_births,-0.8285714285714285,3785,1
492384,Jean_Cadell,31,114.0,1967_deaths,-0.7280701754385965,909,1
875337,Odell_Barnes_(criminal),19,79.0,1968_births,-0.759493670886076,3844,1
960713,Radhakamal_Mukerjee,8,34.0,1968_deaths,-0.7647058823529411,950,1
85390,Chucky_Mullins,23,159.0,1969_births,-0.8553459119496856,4086,1
613179,Kazimierz_Sosnkowski,8,60.0,1969_deaths,-0.8666666666666667,932,1
90901,Clay_King_Smith,17,86.0,1970_births,-0.8023255813953488,4300,1
1339369,Yitzhak_Gruenbaum,17,71.0,1970_deaths,-0.7605633802816901,936,1
1307833,Where_the_Lilies_Bloom,13,39.0,1970s_drama_films,-0.6666666666666667,817,1
79827,Christina_Marie_Riggs,97,498.0,1971_births,-0.8052208835341366,4033,1
310972,Garfield_Wood,6,15.0,1971_deaths,-0.6,955,1
601574,Kami_(musician),68,614.0,1972_births,-0.8892508143322475,3911,1
990290,Richard_Courant,17,57.0,1972_deaths,-0.7017543859649122,965,1
850704,Neil_Stonechild,10,59.0,1973_births,-0.8305084745762712,3793,1
1228140,Tim_Buck,6,15.0,1973_deaths,-0.6,1013,1
992455,Richard_Henyard,9,111.0,1974_births,-0.9189189189189189,3788,1
940386,Phog_Allen,85,281.0,1974_deaths,-0.697508896797153,918,1
509547,Jessica_Keen,30,245.0,1975_births,-0.8775510204081632,3812,1
524484,Joe_Armstrong_(football_scout),6,22.0,1975_deaths,-0.7272727272727273,1020,1
1259328,Troy_Jackson,69,264.0,1976_births,-0.7386363636363636,3784,1
417198,Howard_W._Smith,7,26.0,1976_deaths,-0.7307692307692308,1008,1
716676,Maggie_Dixon,7,57.0,1977_births,-0.8771929824561404,3749,1
178987,Dick_Burnett_(musician),19,42.0,1977_deaths,-0.5476190476190477,958,1
717099,Magik_(rapper),11,26.0,1978_births,-0.5769230769230769,3906,1
711876,M._A._Ayyangar,16,37.0,1978_deaths,-0.5675675675675675,975,1
956179,Qasim_al-Raymi,430,1875.0,1979_births,-0.7706666666666666,4078,1
787597,Michael_Darbyshire,6,21.0,1979_deaths,-0.7142857142857143,1088,1
1129873,Stefan_Liv,10,27.0,1980_births,-0.6296296296296297,4160,1
1036430,Ronnie_Bunting,16,42.0,1980_deaths,-0.6190476190476191,1014,1
1333379,Wrestling_at_the_Chase,12,24.0,1980s_American_television_series,-0.5,847,1
653271,Landscape_in_the_Mist,6,15.0,1980s_drama_films,-0.6,862,1
163480,Death_of_Brandon_Vedas,6,15.0,1981_births,-0.6,4266,1
284832,Francis_Cugat,9,19.0,1981_deaths,-0.5263157894736843,1077,1
832473,Murder_of_Jill-Lyn_Euto,13,64.0,1982_births,-0.796875,4207,1
346427,Gladys_Henson,12,47.0,1982_deaths,-0.7446808510638299,1083,1
317734,Gemma_McCluskie,113,563.0,1983_births,-0.7992895204262878,4145,1
980669,Reginald_Denham,11,49.0,1983_deaths,-0.7755102040816326,1034,1
791947,Michael_Levin_(soldier),9,26.0,1984_births,-0.6538461538461539,4129,1
673365,Leonardo_Vitale,9,73.0,1984_deaths,-0.8767123287671232,1116,1
880279,Olubayo_Adefemi,7,16.0,1985_births,-0.5625,4232,1
733507,Margaret_Molesworth,8,27.0,1985_deaths,-0.7037037037037037,1202,1
832414,Murder_of_Denise_Amber_Lee,322,889.0,1986_births,-0.6377952755905512,4261,1
1294067,Wallis_Simpson,6583,18710.0,1986_deaths,-0.6481560662747194,1141,1
832631,Murder_of_Taylor_Behl,31,100.0,1987_births,-0.69,3866,1
218460,Edgar_P._Jacobs,6,18.0,1987_deaths,-0.6666666666666667,1245,1
723279,Mandi_Schwartz,7,33.0,1988_births,-0.7878787878787878,3707,1
739940,Marion_G._Romney,33,250.0,1988_deaths,-0.868,1202,1
1225352,Thrash_Zone,14,294.0,1989_albums,-0.9523809523809523,523,1
434130,Ilya_Zhitomirskiy,58,121.0,1989_births,-0.5206611570247934,3391,1
521751,Joan_Barry_(British_actress),9,19.0,1989_deaths,-0.5263157894736843,1284,1
638598,Kiyan_Prince,49,320.0,1990_births,-0.846875,2959,1
265063,Fabia_Drake,14,44.0,1990_deaths,-0.6818181818181819,1295,1
630541,Key_West_(TV_series),7,25.0,1990s_American_television_series,-0.72,1266,1
1190706,The_Five_Heartbeats,159,538.0,1990s_drama_films,-0.7044609665427509,1181,1
1117109,Solid_Ball_of_Rock,18,50.0,1991_albums,-0.64,590,1
1102346,Shubha_Phutela,25,30.0,1991_births,-0.16666666666666663,2323,1
733981,Margarethe_von_Oven,7,28.0,1991_deaths,-0.75,1251,1
1189842,The_Extremist,8,26.0,1992_albums,-0.6923076923076923,566,1
1175748,Terrell_Peterson,81,96.0,1992_births,-0.15625,1950,1
832623,Murder_of_Stuart_Tay,60,300.0,1992_deaths,-0.8,1352,1
276530,Fireboy,15,64.0,1993_albums,-0.765625,648,1
1120525,Sophrony_(Sakharov),6,17.0,1993_deaths,-0.6470588235294117,1405,1
1350745,Zopilote_Machine,9,102.0,1994_albums,-0.9117647058823529,708,1
1017465,Robert_Robinson_(engineer),8,31.0,1994_deaths,-0.7419354838709677,1440,1
161721,Deadly_Verses,7,23.0,1995_albums,-0.6956521739130435,751,1
1083934,Selma_Burke,21,67.0,1995_deaths,-0.6865671641791045,1419,1
1146232,Stoosh,30,1137.0,1996_albums,-0.9736147757255936,788,1
302841,Friedrich_Geiger,6,17.0,1996_deaths,-0.6470588235294117,1447,1
1258262,Trippin'_on_a_Hole_in_a_Paper_Heart,11,32.0,1996_singles,-0.65625,610,1
1288664,Vivir_(album),6,31.0,1997_albums,-0.8064516129032258,808,1
1068511,Sant_Singh_Sekhon,10,31.0,1997_deaths,-0.6774193548387097,1439,1
1192571,The_Good_Life_(Weezer_song),12,28.0,1997_singles,-0.5714285714285714,634,1
824982,Moon_Pix,10,46.0,1998_albums,-0.782608695652174,817,1
553863,John_Morton-Finney,7,50.0,1998_deaths,-0.86,1538,1
1209106,The_Substitute_2:_School's_Out,26,72.0,1998_films,-0.6388888888888888,741,1
948291,Post_Orgasmic_Chill,19,570.0,1999_albums,-0.9666666666666667,923,1
88362,Clarence_Harris,13,3092.0,1999_deaths,-0.9957956015523933,1616,1
873143,Nowhere_to_Hide_(1999_film),6,20.0,1999_films,-0.7,732,1
62139,Charlie_Big_Potato,8,54.0,1999_singles,-0.8518518518518519,659,1
845875,Nathan_Michael_Shawn_Wanya,31,85.0,2000_albums,-0.6352941176470588,935,1
782863,Meriel_Forbes,7,154.0,2000_deaths,-0.9545454545454546,1596,1
1277117,Vengo_(film),8,20.0,2000_films,-0.6,761,1
1088091,Sex_Bomb_(song),18,71.0,2000_singles,-0.7464788732394366,603,1
